City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,shingu,33.7333,135.9833,27.22,78,2,0.43,JP,1726180581
1,grytviken,-54.2811,-36.5092,-0.06,85,54,5.56,GS,1726180582
2,bredasdorp,-34.5322,20.0403,9.38,92,98,2.15,ZA,1726180583
3,albany,42.6001,-73.9662,22.59,69,13,0.95,US,1726180501
4,isafjordur,66.0755,-23.124,2.25,81,42,2.18,IS,1726180586
5,port-aux-francais,-49.35,70.2167,-0.51,62,86,7.45,TF,1726180587
6,wailua homesteads,22.0669,-159.378,28.44,72,20,4.63,US,1726180588
7,badger,64.8,-147.5333,12.95,64,100,4.12,US,1726180589
8,tejen,37.3834,60.5054,19.92,21,0,1.0,TM,1726180590
9,hamilton,39.1834,-84.5333,29.58,38,0,7.2,US,1726180456
10,horta,38.5333,-28.6333,23.34,81,60,6.26,PT,1726180593
11,happy valley-goose bay,53.3168,-60.3315,16.17,36,40,2.57,CA,1726180594
12,edinburgh of the seven seas,-37.0676,-12.3116,13.55,86,100,10.59,SH,1726180595
13,usogorsk,63.4106,48.6872,14.92,93,99,1.97,RU,1726180596
14,hilo,19.7297,-155.09,26.85,89,100,6.17,US,1726180559
15,waitangi,-43.9535,-176.5597,12.68,92,99,2.24,NZ,1726180598
16,sur,22.5667,59.5289,26.81,72,4,5.75,OM,1726180600
17,iqaluit,63.7506,-68.5145,5.85,75,75,4.12,CA,1726180601
18,yellowknife,62.456,-114.3525,14.29,88,75,5.14,CA,1726180602
19,adamstown,-25.066,-130.1015,18.98,67,4,7.2,PN,1726180603
20,blackmans bay,-43.0167,147.3167,10.29,91,80,0.45,AU,1726180604
21,horsham,51.064,-0.3272,7.78,83,0,2.06,GB,1726180582
22,punta arenas,-53.15,-70.9167,2.06,80,40,11.32,CL,1726180375
23,bikenibeu village,1.3673,173.1241,30.98,62,40,4.63,KI,1726180608
24,qaqortoq,60.7167,-46.0333,6.93,96,100,0.47,GL,1726180609
25,godda,24.8333,87.2167,28.6,77,100,3.31,IN,1726180610
26,sonoita,31.85,-112.8333,34.43,14,0,10.81,MX,1726180611
27,ushuaia,-54.8,-68.3,-0.19,69,40,2.06,AR,1726180199
28,tiksi,71.6872,128.8694,-0.23,92,91,1.71,RU,1726180613
29,corupa,-26.4253,-49.2431,22.48,96,17,0.7,BR,1726180615
30,west island,-12.1568,96.8225,25.99,78,20,7.2,CC,1726180617
31,amga,60.8953,131.9608,4.46,98,100,5.01,RU,1726180618
32,thompson,55.7435,-97.8558,13.09,88,100,2.06,CA,1726180545
33,quellon,-43.1167,-73.6167,7.72,93,100,3.91,CL,1726180621
34,puerto ayora,-0.7393,-90.3518,20.86,96,75,2.24,EC,1726180622
35,taltal,-25.4,-70.4833,15.27,76,17,1.34,CL,1726180623
36,khovd,48.0056,91.6419,8.07,86,51,1.77,MN,1726180624
37,broken hill,-31.95,141.4333,10.01,63,2,7.46,AU,1726180625
38,hayang,35.9133,128.82,24.87,94,75,0.51,KR,1726180626
39,constantia,44.1833,28.65,19.38,75,0,3.32,RO,1726180627
40,sao joao da barra,-21.6403,-41.0511,24.05,80,0,14.74,BR,1726180507
41,gadzhiyevo,69.2551,33.3362,14.16,91,35,4.89,RU,1726180630
42,ancud,-41.8697,-73.8203,8.23,87,100,3.45,CL,1726180379
43,invercargill,-46.4,168.35,8.34,83,38,0.89,NZ,1726180632
44,margaret river,-33.95,115.0667,11.89,74,100,3.96,AU,1726180633
45,lebu,-37.6167,-73.65,9.45,86,7,4.84,CL,1726180359
46,longyearbyen,78.2186,15.6401,3.91,75,75,12.86,SJ,1726180636
47,papatowai,-46.5619,169.4708,7.29,75,69,1.79,NZ,1726180637
48,east london,-33.0153,27.9116,19.57,87,67,4.16,ZA,1726180638
49,luderitz,-26.6481,15.1594,11.78,70,0,3.4,NA,1726180639
50,helena valley west central,46.6629,-112.0604,15.49,57,100,6.69,US,1726180640
51,yeppoon,-23.1333,150.7333,22.6,64,43,3.35,AU,1726180641
52,ribeira grande,38.5167,-28.7,23.76,81,62,6.26,PT,1726180643
53,sinabang,2.4803,96.3801,25.64,86,100,2.07,ID,1726180644
54,afaahiti,-17.75,-149.2833,23.92,86,42,9.15,PF,1726180645
55,colonia,50.9333,6.95,9.97,86,12,1.17,DE,1726180646
56,olonkinbyen,70.9221,-8.7187,2.08,96,100,13.71,SJ,1726180647
57,gulf shores,30.246,-87.7008,28.03,77,75,3.09,US,1726180535
58,utrik,11.2278,169.8474,28.41,77,51,4.43,MH,1726180650
59,malinyi,-8.9333,36.1333,22.79,51,86,0.83,TZ,1726180651
60,chinde,26.8212,87.7095,25.02,65,68,2.93,NP,1726180652
61,dryden,49.7833,-92.7503,23.16,78,0,3.09,CA,1726180653
62,aldan,58.6031,125.3894,2.19,98,100,6.72,RU,1726180654
63,suntar,62.1444,117.6319,6.83,91,100,4.96,RU,1726180655
64,howrah,22.5892,88.3103,30.0,94,75,1.54,IN,1726180656
65,luwuk,-0.9516,122.7875,22.3,86,100,3.25,ID,1726180658
66,narrabri,-30.3167,149.7833,14.18,76,3,2.68,AU,1726180659
67,embi,48.8264,58.1442,15.77,44,57,8.93,KZ,1726180660
68,nyurba,63.2842,118.3319,2.31,83,54,3.41,RU,1726180661
69,urucara,-2.5364,-57.76,34.69,27,26,2.72,BR,1726180662
70,chonchi,-42.6128,-73.8092,10.07,92,100,1.65,CL,1726180663
71,hawaiian paradise park,19.5933,-154.9731,26.73,89,100,6.17,US,1726180665
72,flin flon,54.7682,-101.865,12.91,94,100,4.63,CA,1726180666
73,el haouaria,37.05,11.0144,25.01,72,22,7.02,TN,1726180667
74,stanley,54.868,-1.6985,4.17,92,0,1.03,GB,1726180443
75,maragogi,-9.0122,-35.2225,23.14,87,40,4.79,BR,1726180669
76,kailua-kona,19.6406,-155.9956,30.15,78,40,5.14,US,1726180670
77,tosontsengel,48.7567,98.2839,5.85,88,100,1.24,MN,1726180672
78,colby,39.3958,-101.0524,31.03,36,0,14.92,US,1726180673
79,fisterra,42.9049,-9.2629,16.57,81,35,7.41,ES,1726180674
80,vadso,70.0744,29.7487,13.09,82,55,1.54,NO,1726180675
81,vilyuchinsk,52.9306,158.4028,11.15,77,95,3.38,RU,1726180676
82,bethel,41.3712,-73.414,22.23,72,4,1.47,US,1726180627
83,inirida,3.8653,-67.9239,26.57,79,96,0.56,CO,1726180679
84,samana,19.2056,-69.3369,25.78,86,6,1.94,DO,1726180680
85,tofol,5.3248,163.0078,29.21,71,87,4.08,FM,1726180681
86,puerto natales,-51.7236,-72.4875,2.25,87,75,9.77,CL,1726180682
87,port elizabeth,-33.918,25.5701,13.51,94,0,1.54,ZA,1726180396
88,port mathurin,-19.6833,63.4167,21.58,72,7,3.01,MU,1726180684
89,kargopol',61.5071,38.9456,18.52,64,87,3.18,RU,1726180685
90,ndofane,13.9167,-15.9333,24.89,90,100,4.22,SN,1726180687
91,glace bay,46.1969,-59.957,16.25,89,75,4.63,CA,1726180524
92,vorgashor,67.5833,63.95,11.27,94,75,3.66,RU,1726180689
93,new norfolk,-42.7826,147.0587,10.95,61,74,3.28,AU,1726180690
94,hermanus,-34.4187,19.2345,12.11,85,80,0.81,ZA,1726180691
95,ciudad bolivar,8.1222,-63.5497,30.61,59,86,5.19,VE,1726180692
96,zhumysker,49.3333,49.4,18.67,38,100,5.76,KZ,1726180694
97,ariquemes,-9.9133,-63.0408,33.41,28,38,0.79,BR,1726180202
98,recani,31.2846,-4.2688,24.82,46,0,4.94,MA,1726180696
99,saltash,50.4096,-4.2251,8.31,87,3,4.42,GB,1726180697
100,bilibino,68.0546,166.4372,7.81,60,39,1.36,RU,1726180698
101,atafu village,-8.5421,-172.5159,28.23,74,59,7.59,TK,1726180699
102,cockburn town,21.4612,-71.1419,28.9,78,85,5.57,TC,1726180701
103,ulladulla,-35.35,150.4667,12.57,58,20,2.65,AU,1726180702
104,elvas,38.8815,-7.1628,22.03,62,7,3.16,PT,1726180703
105,el calafate,-50.3408,-72.2768,2.43,72,1,5.89,AR,1726180704
106,mossel bay,-34.1831,22.146,13.96,89,34,3.27,ZA,1726180705
107,cabo san lucas,22.8909,-109.9124,32.09,67,100,5.14,MX,1726180581
108,petropavlovsk-kamchatsky,53.0452,158.6483,10.33,76,40,1.0,RU,1726180707
109,senanga,-16.1167,23.2667,22.62,29,85,2.74,ZM,1726180709
110,tura,25.5198,90.2201,25.43,88,100,1.34,IN,1726180710
111,flying fish cove,-10.4217,105.6791,24.82,88,100,5.66,CX,1726180711
112,namibe,-15.1961,12.1522,17.25,89,43,1.03,AO,1726180712
113,la ronge,55.1001,-105.2842,13.14,94,100,7.2,CA,1726180713
114,holualoa,19.6228,-155.9522,28.08,78,40,5.14,US,1726180714
115,jamestown,42.097,-79.2353,27.23,44,0,1.34,US,1726180553
116,la passe,45.5549,-0.8967,13.68,77,33,4.5,FR,1726180717
117,moscow,55.7522,37.6156,21.32,51,100,4.73,RU,1726180688
118,lihue,21.9789,-159.3672,28.77,67,20,4.63,US,1726180845
119,sungai penuh,-2.0833,101.3833,19.26,82,94,0.79,ID,1726180846
120,haiku-pauwela,20.9219,-156.3051,29.57,75,20,12.07,US,1726180848
121,ebon,4.582,168.6964,28.46,62,83,2.42,MH,1726180849
122,kalaleh,37.3807,55.4916,23.47,78,48,1.39,IR,1726180850
123,tulum,20.2167,-87.4667,28.9,73,100,2.07,MX,1726180851
124,port alfred,-33.5906,26.891,15.66,95,14,1.96,ZA,1726180852
125,viedma,-40.8135,-62.9967,13.51,30,20,4.25,AR,1726180609
126,kirovskaya,46.9748,40.0402,22.71,35,100,7.49,RU,1726180857
127,mili,6.0815,171.735,28.13,74,12,1.93,MH,1726180858
128,codrington,-38.2667,141.9667,12.22,83,100,4.02,AU,1726180859
129,anadyr,64.75,177.4833,9.28,93,100,5.0,RU,1726180861
130,novouzensk,50.4592,48.1431,17.9,43,100,5.75,RU,1726180862
131,kazanskoye,55.6448,69.235,11.27,94,23,3.4,RU,1726180863
132,arraial do cabo,-22.9661,-42.0278,23.41,80,0,15.1,BR,1726180864
133,trairi,-3.2778,-39.2689,25.02,81,26,5.47,BR,1726180595
134,borogontsy,62.6683,131.1683,6.47,90,100,5.69,RU,1726180867
135,alaghsas,17.0187,8.0168,29.85,44,92,2.71,NE,1726180868
136,as samawah,31.332,45.2944,33.84,21,0,6.66,IQ,1726180869
137,ust-nera,64.5667,143.2,7.46,82,85,2.76,RU,1726180870
138,susuman,62.7833,148.1667,4.46,95,100,0.87,RU,1726180871
139,talnakh,69.4865,88.3972,3.99,94,100,5.21,RU,1726180872
140,al kharijah,25.4514,30.5464,32.32,30,2,5.5,EG,1726180695
141,vila franca do campo,37.7167,-25.4333,21.23,86,98,2.28,PT,1726180875
142,guerrero negro,27.9769,-114.0611,22.53,64,1,7.69,MX,1726180876
143,aasiaat,68.7098,-52.8699,-2.15,78,3,3.24,GL,1726180877
144,fale old settlement,-9.3852,-171.2468,27.87,79,58,6.32,TK,1726180878
145,kapa'a,22.0752,-159.319,29.18,70,20,4.63,US,1726180879
146,carnarvon,-24.8667,113.6333,22.94,58,0,3.82,AU,1726180881
147,yankton,42.8711,-97.3973,29.14,39,0,11.32,US,1726180610
148,kununurra,-15.7667,128.7333,28.99,24,75,5.66,AU,1726180776
149,champerico,14.3,-91.9167,29.68,73,25,2.89,GT,1726180884
150,carlsbad,33.1581,-117.3506,26.25,67,0,5.14,US,1726180632
151,kandiari,26.9156,68.5216,28.03,70,0,6.11,PK,1726180886
152,mto wa mbu,-3.35,35.85,20.11,61,88,1.77,TZ,1726180887
153,hatillo,18.4863,-66.8254,27.66,86,49,0.81,PR,1726180889
154,tera,14.0078,0.7531,30.32,64,82,4.62,NE,1726180890
155,mhamid,29.82,-5.72,26.44,40,0,8.32,MA,1726180891
156,aykhal,66.0,111.5,-0.7,88,85,9.44,RU,1726180892
157,alice springs,-23.7,133.8833,12.75,38,70,4.63,AU,1726180893
158,island harbour,50.724,-1.2758,8.89,72,7,1.34,GB,1726180895
159,filiatra,37.15,21.5833,25.48,67,16,3.23,GR,1726180896
160,enewetak,11.3474,162.3373,28.53,76,100,4.0,MH,1726180897
161,tralee,52.2704,-9.7026,7.02,86,52,1.0,IE,1726180898
162,whitehorse,60.7161,-135.0538,11.68,71,75,8.75,CA,1726180806
163,independence,39.0911,-94.4155,29.92,38,40,4.63,US,1726180900
164,al jabin,14.704,43.599,24.9,62,99,0.65,YE,1726180902
165,boden,65.8252,21.6886,9.58,87,84,2.3,SE,1726180903
166,tomatlan,19.9333,-105.25,27.72,90,96,3.95,MX,1726180904
167,udachny,66.4167,112.4,-0.35,80,92,9.02,RU,1726180905
168,boguchany,58.3814,97.4531,6.13,87,100,1.09,RU,1726180906
169,kruisfontein,-34.0033,24.7314,12.81,84,0,2.82,ZA,1726180907
170,siran,40.1894,39.1267,16.27,73,0,1.65,TR,1726180909
171,queenstown,-31.8976,26.8753,10.26,60,3,1.05,ZA,1726180816
172,tukrah,32.5341,20.5791,25.45,66,2,0.64,LY,1726180911
173,hithadhoo,-0.6,73.0833,28.43,73,40,3.06,MV,1726180912
174,inarajan village,13.2736,144.7484,29.11,90,100,7.98,GU,1726180913
175,ruston,32.5232,-92.6379,20.9,100,100,3.09,US,1726180914
176,shani,10.2162,12.062,24.87,88,83,0.45,NG,1726180916
177,saipan,15.1355,145.701,29.39,84,75,7.72,MP,1726180917
178,marapanim,-0.7175,-47.6997,25.47,83,32,3.09,BR,1726180918
179,lazaro cardenas,17.9583,-102.2,29.19,77,64,1.81,MX,1726180919
180,banyo,6.75,11.8167,18.38,96,55,1.18,CM,1726180920
181,plastun,44.7561,136.2939,17.89,71,100,1.78,RU,1726180921
182,mount pearl,47.5166,-52.7813,15.74,75,20,3.09,CA,1726180923
183,ilulissat,69.2167,-51.1,3.01,70,0,0.0,GL,1726180924
184,vila velha,-20.3297,-40.2925,23.97,83,0,6.69,BR,1726180793
185,santo domingo de los colorados,-0.25,-79.15,23.95,79,90,0.53,EC,1726180926
186,mineros,-17.1167,-63.2333,30.05,28,3,2.32,BO,1726180927
187,miri,4.4148,114.0089,24.08,94,40,1.54,MY,1726180930
188,aqaba,29.5267,35.0078,31.92,27,0,5.14,JO,1726180931
189,tagab,34.855,69.6492,19.14,23,0,1.48,AF,1726180932
190,sarandi del yi,-33.35,-55.6333,9.77,79,99,5.88,UY,1726180933
191,brokopondo,4.75,-55.1667,30.32,54,22,2.16,SR,1726180934
192,georgetown,5.4112,100.3354,25.96,93,40,3.13,MY,1726180935
193,san patricio,28.017,-97.5169,32.97,48,33,5.0,US,1726180936
194,varzea da palma,-17.5981,-44.7308,25.56,29,0,1.03,BR,1726180938
195,monaghan,54.25,-6.9667,4.26,88,6,1.85,IE,1726180939
196,geraldton,-28.7667,114.6,15.23,63,0,3.6,AU,1726180940
197,namdrik,5.5994,168.1028,29.04,65,84,3.8,MH,1726180941
198,kodiak,57.79,-152.4072,15.73,59,0,12.35,US,1726180826
199,pizarro,4.9533,-77.366,26.63,85,100,2.78,CO,1726180943
200,kingston,17.997,-76.7936,28.53,89,40,3.09,JM,1726180945
201,iquique,-20.2208,-70.1431,15.49,82,54,1.27,CL,1726180916
202,klyuchi,52.2667,79.1667,6.23,95,45,3.74,RU,1726180948
203,badagry,6.4167,2.8833,24.55,93,55,3.08,NG,1726180949
204,alpena,45.0617,-83.4327,27.18,79,0,3.09,US,1726180950
205,polyarnyy,69.1989,33.4478,13.78,92,36,5.05,RU,1726180952
206,sitangkai,4.6628,119.3928,28.82,78,98,9.71,PH,1726180953
207,bandon,51.7469,-8.7425,8.77,83,35,2.22,IE,1726180954
208,belyye berega,53.2085,34.6641,19.84,33,78,4.52,RU,1726180955
209,kimbe,-5.5502,150.1429,27.34,86,100,1.54,PG,1726180957
210,otjimbingwe,-22.35,16.1333,18.23,23,0,1.0,NA,1726180959
211,box elder,41.5005,-112.8764,19.48,31,84,6.12,US,1726180960
212,neiafu,-18.65,-173.9833,27.38,69,40,7.2,TO,1726180961
213,koniecpol,50.7747,19.689,10.64,90,100,4.05,PL,1726180962
214,clewiston,26.7542,-80.9337,29.68,73,100,1.67,US,1726180664
215,praia da vitoria,38.7333,-27.0667,23.2,83,20,2.35,PT,1726180964
216,maralal,1.0968,36.698,15.13,64,94,2.06,KE,1726180966
217,korla,41.7597,86.1469,18.3,42,0,4.8,CN,1726180808
218,colonia menno,-22.3667,-59.8167,26.91,35,3,3.64,PY,1726180968
219,kawm umbu,24.4767,32.9463,33.96,20,0,3.94,EG,1726180969
220,zaozersk,69.4005,32.4476,14.37,88,25,3.74,RU,1726180970
221,saint-pierre,-21.3393,55.4781,20.82,68,3,3.09,RE,1726180971
222,tsiombe,-25.3,45.4833,18.24,69,11,5.16,MG,1726180973
223,naha,26.2125,127.6811,27.95,85,75,4.63,JP,1726180729
224,talara,-4.5772,-81.2719,21.42,83,0,7.2,PE,1726180975
225,mandalgovi,45.7625,106.2708,7.61,86,100,5.36,MN,1726180977
226,namtsy,62.7161,129.6658,5.85,78,100,7.59,RU,1726180978
227,kalabo,-14.97,22.6814,23.1,31,9,3.21,ZM,1726180980
228,khvansar,33.2205,50.315,16.44,20,11,2.69,IR,1726180981
229,sibanicu,21.235,-77.5264,28.18,75,100,3.89,CU,1726180982
230,nouadhibou,20.931,-17.0347,20.99,83,0,9.26,MR,1726180983
231,st. john's,47.5649,-52.7093,16.2,75,20,3.09,CA,1726180721
232,kavaratti,10.5669,72.642,26.86,85,97,3.43,IN,1726180985
233,dolinsk,47.35,142.8,13.85,51,99,3.81,RU,1726180986
234,rudnichnyy,59.617,52.4703,13.79,98,45,1.88,RU,1726180988
235,machico,32.7,-16.7667,22.78,74,40,9.77,PT,1726180989
236,moshi,-3.35,37.3333,18.37,83,74,0.44,TZ,1726180990
237,kristinestad,62.2743,21.376,12.34,82,100,1.53,FI,1726180992
238,san carlos,9.6612,-68.5827,26.08,86,100,2.0,VE,1726180993
239,selfoss,63.9331,-20.9971,6.14,80,88,1.8,IS,1726180995
240,dombarovskiy,50.7587,59.5386,12.55,62,0,6.62,RU,1726180996
241,baker city,44.7749,-117.8344,17.84,48,100,4.63,US,1726180998
242,egilsstadir,65.2653,-14.3948,1.95,64,20,1.03,IS,1726180999
243,ust'-uda,54.1742,103.0304,0.87,93,1,1.25,RU,1726181001
244,la sarre,48.8002,-79.1996,20.53,80,44,1.32,CA,1726181002
245,princeville,45.7668,-61.2985,16.36,83,0,1.54,CA,1726180876
246,mount isa,-20.7333,139.5,20.87,21,0,6.17,AU,1726181004
247,nadi,-17.8,177.4167,30.0,54,20,3.6,FJ,1726181005
248,fort st. john,56.2499,-120.8529,18.94,45,40,2.57,CA,1726181006
249,sitka,57.0531,-135.33,14.94,72,100,3.6,US,1726181007
250,uturoa,-16.7333,-151.4333,25.91,82,41,8.11,PF,1726181009
251,zhezqazghan,47.7833,67.7667,11.04,45,1,8.93,KZ,1726181010
252,carutapera,-1.195,-46.02,26.05,78,41,5.17,BR,1726181011
253,greymouth,-42.4667,171.2,8.07,95,100,4.05,NZ,1726181012
254,verkhnevilyuysk,63.4453,120.3167,2.08,84,55,3.99,RU,1726181013
255,newman,37.3138,-121.0208,28.92,15,0,5.74,US,1726181014
256,road town,18.4167,-64.6167,30.02,74,40,2.57,VG,1726180933
257,marquette,46.5333,-87.6335,22.8,79,0,0.89,US,1726181017
258,sao jose da coroa grande,-8.8978,-35.1478,23.5,85,40,5.25,BR,1726181018
259,madaoua,14.073,5.96,29.68,62,22,5.59,NE,1726181019
260,ghat,24.9647,10.1728,28.06,57,100,8.65,LY,1726181020
261,columbia falls,48.3725,-114.1815,13.82,88,100,3.09,US,1726181021
262,nishinoomote,30.7333,131.0,28.43,76,26,7.84,JP,1726181023
263,avarua,-21.2078,-159.775,27.03,69,75,6.69,CK,1726181024
264,port lincoln,-34.7333,135.8667,12.67,67,11,1.91,AU,1726181025
265,shchuchinsk,52.9333,70.2,12.16,93,100,4.02,KZ,1726181026
266,brookings,44.3114,-96.7984,28.0,42,0,8.75,US,1726181015
267,nemuro,43.3236,145.575,18.35,73,100,2.51,JP,1726181028
268,san andres,12.5847,-81.7006,31.01,74,20,2.57,CO,1726181008
269,slave lake,55.2834,-114.769,15.99,67,40,2.06,CA,1726181031
270,college,64.8569,-147.8028,12.99,62,100,3.09,US,1726181032
271,reggane,26.7158,0.1714,35.89,13,1,1.64,DZ,1726181033
272,fort bragg,35.139,-79.006,26.91,64,20,3.6,US,1726181034
273,mahajanga,-15.7167,46.3167,23.01,94,0,2.06,MG,1726181035
274,san antonio de pale,-1.4014,5.6325,24.04,87,100,6.74,GQ,1726181036
275,christchurch,-43.5333,172.6333,10.51,80,100,4.12,NZ,1726180578
276,terenozek,45.05,64.9833,17.96,25,1,6.67,KZ,1726181039
277,shibetsu,43.659,145.132,19.13,67,99,2.28,JP,1726181040
278,vorkuta,67.5,64.0,11.14,93,72,3.66,RU,1726181041
279,chingirlau,51.095,54.0814,13.65,55,0,5.93,KZ,1726181042
